nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,mid,isun,0.40957509267432773,Confidence,16.333333333333332
var_collapse,mid,isun,0.40957509267432773,MSR,17.5
var_collapse,mid,lsun resize,0.44339047660145725,CTM,3.8333333333333335
var_collapse,mid,lsun resize,0.44339047660145725,pNML,5.5
var_collapse,mid,lsun resize,0.44339047660145725,KPCA RecError global,6.666666666666667
var_collapse,mid,lsun resize,0.44339047660145725,Energy,7.0
var_collapse,mid,lsun resize,0.44339047660145725,NNGuide,7.166666666666667
var_collapse,mid,lsun resize,0.44339047660145725,GE,8.166666666666666
var_collapse,mid,lsun resize,0.44339047660145725,NeCo,8.333333333333334
var_collapse,mid,lsun resize,0.44339047660145725,ViM,9.5
var_collapse,mid,lsun resize,0.44339047660145725,MLS,9.666666666666666
var_collapse,mid,lsun resize,0.44339047660145725,CTMmean,11.333333333333334
var_collapse,mid,lsun resize,0.44339047660145725,REN,12.166666666666666
var_collapse,mid,lsun resize,0.44339047660145725,fDBD,12.333333333333334
var_collapse,mid,lsun resize,0.44339047660145725,CTMmeanOC,12.5
var_collapse,mid,lsun resize,0.44339047660145725,PCA RecError global,12.833333333333334
var_collapse,mid,lsun resize,0.44339047660145725,PE,13.833333333333334
var_collapse,mid,lsun resize,0.44339047660145725,GradNorm,14.0
var_collapse,mid,lsun resize,0.44339047660145725,Residual,14.333333333333334
var_collapse,mid,lsun resize,0.44339047660145725,Maha,14.666666666666666
var_collapse,mid,lsun resize,0.44339047660145725,GEN,16.166666666666668
var_collapse,mid,lsun resize,0.44339047660145725,PCE,16.333333333333332
var_collapse,mid,lsun resize,0.44339047660145725,Confidence,17.833333333333332
var_collapse,mid,lsun resize,0.44339047660145725,MSR,18.833333333333332
var_collapse,mid,lsun cropped,0.452894850417105,Energy,1.1666666666666667
var_collapse,mid,lsun cropped,0.452894850417105,GradNorm,2.8333333333333335
var_collapse,mid,lsun cropped,0.452894850417105,MLS,5.0
var_collapse,mid,lsun cropped,0.452894850417105,NeCo,5.333333333333333
var_collapse,mid,lsun cropped,0.452894850417105,KPCA RecError global,5.5
var_collapse,mid,lsun cropped,0.452894850417105,NNGuide,7.666666666666667
var_collapse,mid,lsun cropped,0.452894850417105,GE,8.333333333333334
