nc_metric,bin,method,avg_rank
equinorm_uc,high,Residual,21.571428571428573
equinorm_wc,low,CTM,4.0
equinorm_wc,low,NNGuide,5.428571428571429
equinorm_wc,low,Energy,5.714285714285714
equinorm_wc,low,KPCA RecError global,6.428571428571429
equinorm_wc,low,fDBD,7.571428571428571
equinorm_wc,low,CTMmean,8.428571428571429
equinorm_wc,low,CTMmeanOC,8.857142857142858
equinorm_wc,low,PE,9.428571428571429
equinorm_wc,low,NeCo,10.0
equinorm_wc,low,REN,10.571428571428571
equinorm_wc,low,MLS,11.285714285714286
equinorm_wc,low,PCE,11.428571428571429
equinorm_wc,low,pNML,12.0
equinorm_wc,low,GradNorm,12.0
equinorm_wc,low,GEN,12.0
equinorm_wc,low,GE,13.428571428571429
equinorm_wc,low,MSR,13.857142857142858
equinorm_wc,low,Confidence,14.571428571428571
equinorm_wc,low,ViM,14.857142857142858
equinorm_wc,low,Residual,19.428571428571427
equinorm_wc,low,PCA RecError global,20.142857142857142
equinorm_wc,low,Maha,21.571428571428573
equinorm_wc,mid,NNGuide,3.6666666666666665
equinorm_wc,mid,CTM,6.0
equinorm_wc,mid,CTMmeanOC,8.0
equinorm_wc,mid,NeCo,8.333333333333334
equinorm_wc,mid,MLS,8.333333333333334
equinorm_wc,mid,Energy,8.666666666666666
equinorm_wc,mid,CTMmean,8.833333333333334
equinorm_wc,mid,PE,8.833333333333334
equinorm_wc,mid,PCE,9.0
equinorm_wc,mid,MSR,9.0
equinorm_wc,mid,Confidence,9.0
equinorm_wc,mid,GEN,9.666666666666666
equinorm_wc,mid,GE,10.0
equinorm_wc,mid,fDBD,10.333333333333334
equinorm_wc,mid,REN,11.0
equinorm_wc,mid,GradNorm,12.666666666666666
equinorm_wc,mid,KPCA RecError global,12.833333333333334
equinorm_wc,mid,ViM,17.0
equinorm_wc,mid,PCA RecError global,19.0
equinorm_wc,mid,pNML,20.666666666666668
equinorm_wc,mid,Residual,21.0
equinorm_wc,mid,Maha,21.166666666666668
equinorm_wc,high,fDBD,5.0
equinorm_wc,high,NeCo,5.714285714285714
equinorm_wc,high,Energy,5.857142857142857
equinorm_wc,high,CTMmean,6.142857142857143
equinorm_wc,high,CTMmeanOC,6.428571428571429
equinorm_wc,high,MLS,6.428571428571429
equinorm_wc,high,NNGuide,6.428571428571429
equinorm_wc,high,KPCA RecError global,7.428571428571429
equinorm_wc,high,CTM,8.714285714285714
equinorm_wc,high,GE,9.142857142857142
equinorm_wc,high,REN,11.714285714285714
equinorm_wc,high,GradNorm,13.142857142857142
equinorm_wc,high,ViM,13.142857142857142
equinorm_wc,high,Confidence,13.285714285714286
equinorm_wc,high,GEN,13.428571428571429
equinorm_wc,high,PCA RecError global,14.285714285714286
equinorm_wc,high,pNML,14.857142857142858
equinorm_wc,high,PCE,15.714285714285714
equinorm_wc,high,PE,16.285714285714285
equinorm_wc,high,MSR,16.857142857142858
equinorm_wc,high,Maha,21.0
equinorm_wc,high,Residual,22.0
max_equiangular_uc,low,CTM,1.2857142857142858
max_equiangular_uc,low,CTMmean,3.5714285714285716
max_equiangular_uc,low,CTMmeanOC,3.7142857142857144
max_equiangular_uc,low,fDBD,4.571428571428571
max_equiangular_uc,low,NNGuide,6.142857142857143
max_equiangular_uc,low,REN,6.857142857142857
max_equiangular_uc,low,KPCA RecError global,7.857142857142857
max_equiangular_uc,low,GEN,8.857142857142858
max_equiangular_uc,low,Confidence,10.571428571428571
max_equiangular_uc,low,PCE,11.285714285714286
max_equiangular_uc,low,MSR,11.428571428571429
