base,variant,mean_diff,median_diff,std_diff,n_better,n_worse,n_tied,n_total,p_value,significant,backbone
GEN,GEN class avg,-4.653645343049632,-4.301348011381727,4.536200638133725,3,29,0,32,2.4959444999694824e-07,True,ViT
NNGuide,NNGuide global,-0.07665586529901658,-0.06825370841246325,0.9060190588178874,14,18,0,32,0.6779994335956872,False,ViT
NNGuide,NNGuide class pred,-0.8656481053172964,-0.4370847726815157,2.1031230728111048,8,24,0,32,0.012499021831899881,True,ViT
NNGuide,NNGuide class avg,-9.556057773268897,-9.068675841980067,9.006334391837386,1,31,0,32,1.5366822481155396e-08,True,ViT
Maha,Maha global,-3.5591466706464097,-2.014148488660396,11.748561931120518,9,23,0,32,0.09838791796937585,False,ViT
Maha,Maha class pred,-19.99580323011792,-9.916432369451812,21.324487487869536,2,30,0,32,2.3283064365386963e-09,True,ViT
Maha,Maha class avg,-1.581141887849451,-0.4437174674644666,4.801565691565996,9,23,0,32,0.062217178754508495,False,ViT
pNML,pNML global,-20.197608174567158,-21.770263797186217,17.29601702296991,2,30,0,32,2.4959444999694824e-07,True,ViT
pNML,pNML class pred,1.3906716175046934,-1.2354750859369048,26.157117762335663,9,23,0,32,0.3896126742474735,False,ViT
pNML,pNML class avg,-20.155966662929377,-18.79959460388895,17.73433788316025,1,31,0,32,2.3283064365386963e-09,True,ViT
GE,GE global,0.6351661690702652,0.3381200201487431,0.8361290496301512,23,9,0,32,0.0001777801662683487,True,ViT
GE,GE class,-1.1168321403231034,-0.7165248639205544,1.2751156613683887,0,32,0,32,4.656612873077393e-10,True,ViT
GE,GE class pred,-0.13603492693128771,-0.03464247935838216,0.7979748942308289,13,19,0,32,0.5607573566958308,False,ViT
GE,GE class avg,-7.353171809185324,-6.281058648596158,6.896903979764602,1,31,0,32,2.561137080192566e-08,True,ViT
PCE,PCE global,0.5360397654605209,0.313607096643608,0.799665503396292,21,11,0,32,0.0015479698777198792,True,ViT
PCE,PCE class,-1.003805156492617,-0.5453794219065884,1.209448758552293,2,30,0,32,5.122274160385132e-08,True,ViT
PCE,PCE class pred,0.16026577097563388,-0.016618108498050788,0.7622748525965021,16,16,0,32,0.637883335351944,False,ViT
PCE,PCE class avg,-5.481749931861952,-5.0438180919312146,5.0904417048153805,2,30,0,32,1.1781230568885803e-07,True,ViT
PE,PE global,0.554889652968003,0.31208267533284584,0.7898122704942268,23,9,0,32,0.0003979005850851536,True,ViT
PE,PE class,-1.1111932098061414,-0.6449722112864293,1.259891775609771,1,31,0,32,2.3283064365386963e-09,True,ViT
PE,PE class pred,0.08589338102806776,-0.030064862786545632,0.6597884039130183,15,17,0,32,0.8176742987707257,False,ViT
PE,PE class avg,-5.716396287750694,-4.954228734671929,5.330361042668072,1,31,0,32,2.561137080192566e-08,True,ViT
REN,REN global,-3.5897178598260178,-0.3121445140499475,6.917293323508702,13,19,0,32,0.05696781584993005,False,ViT
REN,REN class,-0.6583500319791011,-1.134424500269148,2.570326624811329,10,22,0,32,0.1437781504355371,False,ViT
REN,REN class pred,4.740065404129442,2.0989429463006957,7.398282342312314,24,8,0,32,0.0014367210678756237,True,ViT
REN,REN class avg,-3.110862243437189,-4.954165542631671,6.519116350599732,9,23,0,32,0.02797716623172164,True,ViT
