,var_collapse,cdnv_score,bias_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,w_etf_diff,M_etf_diff,wM_etf_diff,dataset,architecture,study,dropout,run,reward,lr
20,0.006120910868048668,0.4541538655757904,0.7322816252708435,0.04727501794695854,0.045808564871549606,0.019732283428311348,0.015173273161053658,0.03504220023751259,0.028434425592422485,0.014946477487683296,0.13012224435806274,0.1329154074192047,0.12407010048627853,cifar10,VGG13,dg,False,1,2.2,
21,0.007734471000730991,0.34507986903190613,0.539336085319519,0.08277378976345062,0.07026707381010056,0.03620867431163788,0.01593712344765663,0.06778235733509064,0.051572564989328384,0.03308862820267677,0.19690059125423431,0.22964932024478912,0.2103925347328186,cifar10,VGG13,dg,False,1,3.0,
22,0.008998989127576351,0.4347971975803375,0.9662766456604004,0.06970564275979996,0.0764416754245758,0.02742564119398594,0.01230071671307087,0.0577281191945076,0.05776728689670563,0.03372010588645935,0.21274088323116302,0.1944895088672638,0.2018810510635376,cifar10,VGG13,dg,False,1,6.0,
23,0.00899121817201376,0.536503791809082,1.1177759170532227,0.06189964711666107,0.07916282117366791,0.02536667324602604,0.01247465144842863,0.050741709768772125,0.061720672994852066,0.03535395860671997,0.22014249861240387,0.1732252985239029,0.19534005224704742,cifar10,VGG13,dg,False,1,10.0,
24,0.00614539347589016,0.29355472326278687,0.7506749033927917,0.05068626254796982,0.0430612675845623,0.02930540032684803,0.016862694174051285,0.03855659067630768,0.027556514367461205,0.017383335158228874,0.12241245061159134,0.1423732042312622,0.12469463050365448,cifar10,VGG13,dg,False,2,2.2,
25,0.007818590849637985,0.35334327816963196,0.48124343156814575,0.07964400947093964,0.06969649344682693,0.04152786359190941,0.013172194361686707,0.06656775623559952,0.05183957517147064,0.03459769859910011,0.19544285535812378,0.22130119800567627,0.20482099056243896,cifar10,VGG13,dg,False,2,3.0,
26,0.009201551787555218,0.4706752300262451,0.9014395475387573,0.06448734551668167,0.07789405435323715,0.03271804004907608,0.011425530537962914,0.05310899764299393,0.061368994414806366,0.035869333893060684,0.21664075553417206,0.18030551075935364,0.1968861073255539,cifar10,VGG13,dg,False,2,6.0,
27,0.009047417901456356,0.5623965859413147,1.0929573774337769,0.0649789422750473,0.07859005779027939,0.025282081216573715,0.01420649979263544,0.052659161388874054,0.06124097853899002,0.03420409560203552,0.21861134469509125,0.18163491785526276,0.20009513199329376,cifar10,VGG13,dg,False,2,10.0,
28,0.006008658092468977,0.2866939306259155,0.7508771419525146,0.04765595123171806,0.04362696036696434,0.02629154548048973,0.01318619679659605,0.03648000210523605,0.027574386447668076,0.01638098433613777,0.12401765584945679,0.1339769959449768,0.12057092785835266,cifar10,VGG13,dg,False,3,2.2,
29,0.0076288217678666115,0.34119489789009094,0.472859263420105,0.07849887758493423,0.069255530834198,0.039462145417928696,0.013849143870174885,0.06466972827911377,0.05108965188264847,0.0367208756506443,0.19424326717853546,0.2182266116142273,0.2018563598394394,cifar10,VGG13,dg,False,3,3.0,
30,0.009182197041809559,0.5840024948120117,0.931640088558197,0.06692516058683395,0.07856099307537079,0.02959040366113186,0.013484538532793522,0.05557037517428398,0.06159587949514389,0.03618251904845238,0.21842743456363678,0.18694213032722473,0.20123086869716644,cifar10,VGG13,dg,False,3,6.0,
31,0.008896484971046448,0.5631216168403625,1.035379409790039,0.06253699958324432,0.07734637707471848,0.019576577469706535,0.011647499166429043,0.04946385324001312,0.06004030257463455,0.03593332692980766,0.2152683287858963,0.17496196925640106,0.19500301778316498,cifar10,VGG13,dg,False,3,10.0,
32,0.006128534208983183,0.2916226387023926,0.739714503288269,0.04762962460517883,0.04420338571071625,0.022647708654403687,0.0154528534039855,0.036881059408187866,0.02824404276907444,0.015989180654287338,0.125540629029274,0.13390088081359863,0.12344183772802353,cifar10,VGG13,dg,False,4,2.2,
33,0.007657160516828299,0.3425326347351074,0.4380265176296234,0.07981665432453156,0.07094412297010422,0.0351683646440506,0.013663031160831451,0.06543374806642532,0.0515599399805069,0.034785132855176926,0.19874252378940582,0.2217482477426529,0.20768029987812042,cifar10,VGG13,dg,False,4,3.0,
34,0.00927943829447031,0.4134584963321686,0.8820663690567017,0.06581522524356842,0.07735355198383331,0.02451486326754093,0.01264119241386652,0.05390177294611931,0.05948163568973541,0.03689039498567581,0.21518990397453308,0.18391293287277222,0.19813044369220734,cifar10,VGG13,dg,False,4,6.0,
35,0.009122774004936218,0.5457392930984497,1.0170797109603882,0.06678657978773117,0.08019085228443146,0.021774474531412125,0.014180839993059635,0.05436233803629875,0.062005605548620224,0.03585387021303177,0.22289781272411346,0.18655358254909515,0.20420970022678375,cifar10,VGG13,dg,False,4,10.0,
36,0.006255189422518015,0.45745590329170227,0.8183207511901855,0.047482315450906754,0.04762902855873108,0.02675728313624859,0.016849206760525703,0.03522578254342079,0.02991313859820366,0.015910949558019638,0.13503292202949524,0.13349545001983643,0.12781992554664612,cifar10,VGG13,dg,False,5,2.2,
37,0.007849990390241146,0.35512489080429077,0.5202468037605286,0.07528512924909592,0.0711100846529007,0.037146519869565964,0.012327432632446289,0.0623469240963459,0.05219034478068352,0.03483254462480545,0.19922496378421783,0.20958445966243744,0.20271553099155426,cifar10,VGG13,dg,False,5,3.0,
38,0.009092975407838821,0.4581226706504822,1.0034631490707397,0.07091305404901505,0.08036267012357712,0.0272385161370039,0.014536376111209393,0.05988802760839462,0.06238840892910957,0.034828152507543564,0.22325852513313293,0.19775916635990143,0.20865854620933533,cifar10,VGG13,dg,False,5,6.0,
39,0.009239496663212776,0.5688517093658447,1.1213220357894897,0.06742586940526962,0.07771816104650497,0.026756759732961655,0.013387787155807018,0.05615874379873276,0.05997429043054581,0.03401241824030876,0.21626803278923035,0.18829922378063202,0.2018454670906067,cifar10,VGG13,dg,False,5,10.0,
40,0.009234224446117878,0.5322738885879517,1.6318340301513672,0.04545627906918526,0.06030799075961113,0.06637370586395264,0.009703516960144043,0.030880795791745186,0.04032351076602936,0.04357371851801872,0.1758037954568863,0.1279303878545761,0.13944567739963531,cifar10,VGG13,dg,True,1,2.2,
41,0.012183502316474915,0.8805769085884094,1.685153603553772,0.16392160952091217,0.11250593513250351,0.07158882915973663,0.024680132046341896,0.1182522103190422,0.08609127253293991,0.08811015635728836,0.3107541799545288,0.43119919300079346,0.3845036029815674,cifar10,VGG13,dg,True,1,3.0,
42,0.015599302016198635,1.1713308095932007,1.7794067859649658,0.1719946265220642,0.1303994208574295,0.09903876483440399,0.0315730907022953,0.14614616334438324,0.10690442472696304,0.0877578929066658,0.35188478231430054,0.44966334104537964,0.41041100025177,cifar10,VGG13,dg,True,1,6.0,
43,0.015146873891353607,1.158846378326416,2.333993434906006,0.14583036303520203,0.13212579488754272,0.08916068077087402,0.031893156468868256,0.11833006888628006,0.1079544723033905,0.08554600924253464,0.35644465684890747,0.3892587125301361,0.3816518485546112,cifar10,VGG13,dg,True,1,10.0,
44,0.009184309281408787,0.5325170159339905,1.62540602684021,0.043674904853105545,0.05686203017830849,0.042062126100063324,0.010628602467477322,0.0283207967877388,0.03784946724772453,0.03750251233577728,0.16655761003494263,0.12293354421854019,0.13570991158485413,cifar10,VGG13,dg,True,2,2.2,
45,0.011836863122880459,0.8854933977127075,1.5820813179016113,0.17266003787517548,0.1084674820303917,0.06176961585879326,0.021093860268592834,0.12752406299114227,0.08325190097093582,0.08779969066381454,0.3004738986492157,0.45079419016838074,0.39327502250671387,cifar10,VGG13,dg,True,2,3.0,
46,0.015564868226647377,1.2304697036743164,1.975172758102417,0.1769966185092926,0.12910045683383942,0.09449509531259537,0.028604594990611076,0.15010476112365723,0.10427957028150558,0.08549416810274124,0.34866344928741455,0.46070241928100586,0.41522571444511414,cifar10,VGG13,dg,True,2,6.0,
47,0.01470271684229374,1.1369234323501587,2.3349318504333496,0.14918118715286255,0.13223043084144592,0.08072825521230698,0.0304147619754076,0.12400782108306885,0.10895009338855743,0.08154027909040451,0.356699675321579,0.3971211314201355,0.38550975918769836,cifar10,VGG13,dg,True,2,10.0,
48,0.009436729364097118,0.547527551651001,1.6714067459106445,0.039043061435222626,0.05717950314283371,0.052653562277555466,0.01242690160870552,0.025233110412955284,0.03823183476924896,0.04056471958756447,0.1669480800628662,0.11003389954566956,0.12491344660520554,cifar10,VGG13,dg,True,3,2.2,
49,0.012869101949036121,0.8747405409812927,1.676851749420166,0.1688665747642517,0.112271748483181,0.07119080424308777,0.023063180968165398,0.1188579574227333,0.08675426244735718,0.08697279542684555,0.3099728524684906,0.44237464666366577,0.3905215263366699,cifar10,VGG13,dg,True,3,3.0,
50,0.01537343766540289,1.1727181673049927,1.8842817544937134,0.174077108502388,0.12922677397727966,0.0946059450507164,0.029552288353443146,0.1448414921760559,0.10444992035627365,0.08825697749853134,0.3490160405635834,0.454257071018219,0.41231009364128113,cifar10,VGG13,dg,True,3,6.0,
51,0.01505965180695057,1.134543776512146,2.4390339851379395,0.14671649038791656,0.1294969618320465,0.0891246572136879,0.029468193650245667,0.121016725897789,0.10669928789138794,0.08387628197669983,0.3499804139137268,0.3913947641849518,0.3801674544811249,cifar10,VGG13,dg,True,3,10.0,
52,0.009276323951780796,0.5294799208641052,1.5809670686721802,0.04154440015554428,0.059861455112695694,0.057533152401447296,0.01005086861550808,0.02487724833190441,0.0391642265021801,0.04252960905432701,0.1751122921705246,0.1170247346162796,0.13133756816387177,cifar10,VGG13,dg,True,4,2.2,
