encoder,source,n_per_class,seed,family,variant,ood,trial_key,augrc_base,augrc_var,delta_augrc
clip_vitl14,cifar10,100,0,GradNorm,class pred,cifar100,gradnorm_cp,190.5635,164.7279,25.8355
clip_vitl14,cifar10,100,0,Maha,class pred,cifar100,maha_cp,166.6814,172.9498,-6.2684
clip_vitl14,cifar10,100,0,PCA RecError,class pred,cifar100,recerr_cp,172.2755,155.9082,16.3673
clip_vitl14,cifar10,100,0,PCA RecError,class,cifar100,recerr_class,172.2755,158.763,13.5125
clip_vitl14,cifar10,100,0,MLS,global,tinyimagenet,mls,143.2018,144.1936,-0.9917
clip_vitl14,cifar10,100,0,Energy,global,tinyimagenet,energy,143.2057,144.198,-0.9923
clip_vitl14,cifar10,100,0,MSR,global,tinyimagenet,msr,140.2693,140.5403,-0.271
clip_vitl14,cifar10,100,0,GradNorm,global,tinyimagenet,gradnorm,221.7807,138.6299,83.1508
clip_vitl14,cifar10,100,0,Maha,global,tinyimagenet,maha,130.9821,128.8017,2.1804
clip_vitl14,cifar10,100,0,GradNorm,class pred,tinyimagenet,gradnorm_cp,221.7807,142.5636,79.217
clip_vitl14,cifar10,100,0,Maha,class pred,tinyimagenet,maha_cp,130.9821,134.3427,-3.3606
clip_vitl14,cifar10,100,0,PCA RecError,class pred,tinyimagenet,recerr_cp,131.2839,129.4217,1.8622
clip_vitl14,cifar10,100,0,PCA RecError,class,tinyimagenet,recerr_class,131.2839,129.8004,1.4835
clip_vitl14,cifar10,100,0,MLS,global,lsun resize,mls,128.7372,129.008,-0.2708
clip_vitl14,cifar10,100,0,Energy,global,lsun resize,energy,128.7425,129.0138,-0.2713
clip_vitl14,cifar10,100,0,MSR,global,lsun resize,msr,132.2517,132.2863,-0.0345
clip_vitl14,cifar10,100,0,GradNorm,global,lsun resize,gradnorm,141.7764,133.3365,8.4399
clip_vitl14,cifar10,100,0,Maha,global,lsun resize,maha,134.7144,131.8212,2.8932
clip_vitl14,cifar10,100,0,GradNorm,class pred,lsun resize,gradnorm_cp,141.7764,155.3432,-13.5668
clip_vitl14,cifar10,100,0,Maha,class pred,lsun resize,maha_cp,134.7144,155.8588,-21.1444
clip_vitl14,cifar10,100,0,PCA RecError,class pred,lsun resize,recerr_cp,142.1849,136.2306,5.9543
clip_vitl14,cifar10,100,0,PCA RecError,class,lsun resize,recerr_class,142.1849,138.0457,4.1392
clip_vitl14,cifar10,100,0,MLS,global,isun,mls,114.9512,115.2209,-0.2697
clip_vitl14,cifar10,100,0,Energy,global,isun,energy,114.9563,115.2271,-0.2708
clip_vitl14,cifar10,100,0,MSR,global,isun,msr,118.4033,118.4734,-0.07
clip_vitl14,cifar10,100,0,GradNorm,global,isun,gradnorm,129.1606,120.9375,8.223
clip_vitl14,cifar10,100,0,Maha,global,isun,maha,123.0872,119.4711,3.6161
clip_vitl14,cifar10,100,0,GradNorm,class pred,isun,gradnorm_cp,129.1606,145.8324,-16.6718
clip_vitl14,cifar10,100,0,Maha,class pred,isun,maha_cp,123.0872,142.381,-19.2938
clip_vitl14,cifar10,100,0,PCA RecError,class pred,isun,recerr_cp,134.7947,126.0455,8.7492
clip_vitl14,cifar10,100,0,PCA RecError,class,isun,recerr_class,134.7947,128.7038,6.091
clip_vitl14,cifar10,100,0,MLS,global,places365,mls,141.2747,142.2656,-0.9909
clip_vitl14,cifar10,100,0,Energy,global,places365,energy,141.2758,142.2681,-0.9922
clip_vitl14,cifar10,100,0,MSR,global,places365,msr,142.2693,141.3656,0.9037
clip_vitl14,cifar10,100,0,GradNorm,global,places365,gradnorm,263.8302,129.8464,133.9838
