dataset,method,calibration,model,architecture,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound,k1,bar_p_ood,k2,bar_p2_ood,alpha
ood_nsncs_textures,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.10159142943319133,0.021359499034456237,0.25447997632233677,0.19373861166224293,0.28283802045075773,0.0834142240437763,0.3511855967581717,0.02482739627130983,0.1587319067800681,0.700708162504659
ood_nsncs_places365,Energy,Sigmoid,modelvit,ViT,do0,rew0,0,0.23123911717592355,0.06899981009511953,0.4330186159496867,0.30563671142805454,0.4163374124282692,0.0834142240437763,0.4845035915236602,0.02482739627130983,0.29287209303950146,1.2423903590508139
val,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.02384296185039316,0.005416601511398188,0.8762983035842978,0.1140802598929749,0.24356205662818234,0.06214655311285122,0.687853863716751,0.016420715002760083,0.5333093948363723,0.09051254089422028
iid_test,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.015096725179968754,0.0009674627203973891,0.36517403939177767,0.14162297097638235,0.26582589809965346,0.08413641543623684,0.6281732186552793,0.02554187138368021,0.45255956901907907,0.11815132314573239
ood_sncs_c100,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.2376203056653827,0.07072500406784003,0.439691267931823,0.3118561749415735,0.44325050608165223,0.08413641543623684,0.4951478093674191,0.02554187138368021,0.33405187573282336,1.2423903590508139
ood_nsncs_svhn,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.17080053538566564,0.059319720842980664,0.4421183046038242,0.21022754371203328,0.3052507604236363,0.08413641543623684,0.2492144633298838,0.02554187138368021,0.11409088070573573,3.2341905826810784
ood_sncs_c10,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.2477213150597668,0.07783842711181066,0.4607630550031314,0.32191473896180894,0.4574979215373999,0.08413641543623684,0.5133025115675419,0.02554187138368021,0.3572147658093835,1.2423903590508139
ood_nsncs_lsun_cropped,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.16101619630954286,0.05450491434242897,0.4132996423821238,0.23456800105620154,0.3325580967941065,0.08413641543623684,0.35565038432171114,0.02554187138368021,0.17905406061119097,1.2423903590508139
ood_nsncs_lsun_resize,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.2535490171846145,0.08507495705652322,0.49013342021897943,0.32767678515680826,0.4442329169791892,0.08413641543623684,0.5237024287448963,0.02554187138368021,0.3356255200075728,1.2423903590508139
ood_nsncs_isun,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.22251844194609327,0.07180836375145626,0.448369318829194,0.3014487047511698,0.41553736629353566,0.08413641543623684,0.4974315189467884,0.02554187138368021,0.30535979503923527,1.1088333954528513
ood_nsncs_textures,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.06960600631342909,0.017487848116377023,0.37269378557208743,0.1647950064468627,0.27654449449771945,0.08413641543623684,0.27990511266043144,0.02554187138368021,0.14916758487373047,0.700708162504659
ood_nsncs_places365,Energy,Isotonic,modelvit,ViT,do0,rew0,0,0.22240954285485298,0.06955867314398267,0.44387799478892564,0.29662414823374966,0.4181633260160138,0.08413641543623684,0.4676555243624677,0.02554187138368021,0.29504718550727227,1.2423903590508139
val,Energy,Beta,modelvit,ViT,do0,rew0,0,0.02344231738564385,0.0034329583501868555,0.7797134244274208,0.1165472111426308,0.2408004135685198,0.06352032215678582,0.7023985027091348,0.013198844352638975,0.5527891434144606,0.09051254089422028
iid_test,Energy,Beta,modelvit,ViT,do0,rew0,0,0.01498245735651958,0.0008461608129419532,0.2232730452629704,0.14185380260098382,0.2649495996624619,0.08201264683709453,0.6483327329306839,0.021501743108411072,0.4823523480253297,0.11815132314573239
ood_sncs_c100,Energy,Beta,modelvit,ViT,do0,rew0,0,0.24221571169490355,0.07663411053031914,0.4674026171114804,0.31520284384267044,0.44968844741121294,0.08201264683709453,0.5028976334124585,0.021501743108411072,0.347679583023935,1.2423903590508139
ood_nsncs_svhn,Energy,Beta,modelvit,ViT,do0,rew0,0,0.16887802663342638,0.056837459394904984,0.4904573733490485,0.2057909749729716,0.3010429613300719,0.08201264683709453,0.2440627851744803,0.021501743108411072,0.11200010145233433,3.2341905826810784
ood_sncs_c10,Energy,Beta,modelvit,ViT,do0,rew0,0,0.25471912631362625,0.08720379845379417,0.49549722497403836,0.32764337470112276,0.4668525154037421,0.08201264683709453,0.525351547558879,0.021501743108411072,0.3760734962504624,1.2423903590508139
ood_nsncs_lsun_cropped,Energy,Beta,modelvit,ViT,do0,rew0,0,0.1655699078729123,0.05563733439768823,0.4429233140397784,0.2331260788852877,0.3336844544738017,0.08201264683709453,0.35475728034087833,0.021501743108411072,0.18366040629977307,1.2423903590508139
ood_nsncs_lsun_resize,Energy,Beta,modelvit,ViT,do0,rew0,0,0.2606292402503096,0.09445626214119042,0.5202093716597367,0.33332552968273604,0.4541572556179108,0.08201264683709453,0.5356072690851928,0.021501743108411072,0.35496977824961523,1.2423903590508139
ood_nsncs_isun,Energy,Beta,modelvit,ViT,do0,rew0,0,0.22808985948585941,0.07948352050868683,0.47484403638595035,0.3054425812057655,0.423827271849789,0.08201264683709453,0.5069425858817804,0.021501743108411072,0.3222369254270857,1.1088333954528513
ood_nsncs_textures,Energy,Beta,modelvit,ViT,do0,rew0,0,0.07496292571685406,0.016726477140219447,0.3151004424125958,0.16357970233419308,0.27448249373387534,0.08201264683709453,0.2799863033441481,0.021501743108411072,0.15217561737705607,0.700708162504659
ood_nsncs_places365,Energy,Beta,modelvit,ViT,do0,rew0,0,0.22755569495322106,0.07702324448901639,0.48129350816037975,0.30044544505883947,0.42597587545792237,0.08201264683709453,0.4762620043475219,0.021501743108411072,0.31020218230961155,1.2423903590508139
val,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.036597982363084654,0.007315010640379716,0.6051838387885806,0.12129009629961585,0.2488025855342748,0.0661716295726249,0.7302495419460098,0.011739410276009676,0.6161167150052923,0.09051254089422028
iid_test,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.03355734413383768,0.0033018596162181597,0.26335952890192227,0.14127187728178436,0.2709892871967972,0.0807371205917976,0.6536212533046059,0.020030378470188896,0.5254387252074697,0.11815132314573239
ood_sncs_c100,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.22413553490104424,0.07386431160741934,0.5920518725788348,0.29614540621174057,0.45151359954229947,0.0807371205917976,0.4695275353072327,0.020030378470188896,0.3518326395981052,1.2423903590508139
ood_nsncs_svhn,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.10363433165596096,0.031935830402900836,0.5603352143590639,0.13413009233154732,0.2485434600101794,0.0807371205917976,0.1506390055742196,0.020030378470188896,0.07468078200431569,3.2341905826810784
ood_sncs_c10,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.2477488145439006,0.08827949013917005,0.6159628393327983,0.31975868585459694,0.47757996939821856,0.0807371205917976,0.5121471437346241,0.020030378470188896,0.39554388214920605,1.2423903590508139
ood_nsncs_lsun_cropped,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.10939071442982663,0.03183444778750187,0.5053081777246419,0.16982523745971437,0.28844212155406584,0.0807371205917976,0.2415322627267006,0.020030378470188896,0.13404316624692822,1.2423903590508139
ood_nsncs_lsun_resize,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.23979532626723363,0.09726950527266576,0.6382200491013494,0.31180519757792996,0.45405437160390777,0.0807371205917976,0.4977918927440678,0.020030378470188896,0.3559854289646861,1.2423903590508139
ood_nsncs_isun,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.19961659345177485,0.07336510928829246,0.5860439736873467,0.2761870050982198,0.41551676127147114,0.0807371205917976,0.4524532370749361,0.020030378470188896,0.31029776092999106,1.1088333954528513
ood_nsncs_textures,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.05885277449789183,0.011537452724215448,0.3583603373061495,0.15057600109976343,0.27287580015570884,0.0807371205917976,0.25024499918639764,0.020030378470188896,0.15214093654672056,0.700708162504659
ood_nsncs_places365,GradNorm,Sigmoid,modelvit,ViT,do0,rew0,0,0.2167006363196057,0.07355613221721101,0.5757553716926298,0.28871050763030215,0.4372631223052086,0.0807371205917976,0.4561082868575944,0.020030378470188896,0.3289726922867523,1.2423903590508139
val,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.019323873736201612,0.0033163984968976367,0.7692307692307692,0.11924601570719998,0.24969420813243223,0.06532761185076719,0.7149469354222466,0.01627945764661845,0.5713124688305213,0.09051254089422028
iid_test,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.013420609240494746,0.0009395893501432169,0.9104666833849159,0.14121739290873048,0.26586226820847175,0.08346999558077262,0.6299753330693326,0.02424471364259929,0.46372135731156516,0.11815132314573239
ood_sncs_c100,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.22899743579988016,0.06487066377516928,0.45730178663006993,0.30293090465127887,0.4382247952310641,0.08346999558077262,0.4795749903621293,0.02424471364259929,0.32710017882728737,1.2423903590508139
ood_nsncs_svhn,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.11527601192782098,0.03592531883552997,0.4323161985947808,0.15102421921322093,0.25471265999219606,0.08346999558077262,0.1719117401880817,0.02424471364259929,0.07744237065968443,3.2341905826810784
ood_sncs_c10,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.24548469172664014,0.07469358970184875,0.4842034781586439,0.31945087128326044,0.45829959147642985,0.08346999558077262,0.5093918781361929,0.02424471364259929,0.35958394670068683,1.2423903590508139
ood_nsncs_lsun_cropped,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.12184416564161199,0.03485962920959363,0.4114677750205887,0.19009982464707298,0.2910842287618413,0.08346999558077262,0.27592617406253817,0.02424471364259929,0.13341465794839458,1.2423903590508139
ood_nsncs_lsun_resize,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.24036844296413623,0.07997738662047896,0.5270232350298719,0.31418449721409036,0.43038659010744085,0.08346999558077262,0.4998865995787478,0.02424471364259929,0.3148117803118575,1.2423903590508139
ood_nsncs_isun,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.20646300936424397,0.06369298212990818,0.46139122422661394,0.2849660163490739,0.3988656595665689,0.08346999558077262,0.4666849486923857,0.02424471364259929,0.2807073059049702,1.1088333954528513
ood_nsncs_textures,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.07364713980196155,0.014844016304032922,0.27561587524395903,0.16520332774427834,0.2781626839982116,0.08346999558077262,0.28184722678400487,0.02424471364259929,0.15319743612779727,0.700708162504659
ood_nsncs_places365,GradNorm,Isotonic,modelvit,ViT,do0,rew0,0,0.2237984372668399,0.06471155330322616,0.468185435569902,0.2977334771097411,0.4237038869784641,0.08346999558077262,0.4701941533924078,0.02424471364259929,0.30451007332307745,1.2423903590508139
val,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.02096222639369062,0.0032822358825924393,0.5250336783928611,0.11912688407549078,0.24397151057786906,0.06492857364892235,0.7179202655352889,0.012824970841507138,0.5754409603853642,0.09051254089422028
iid_test,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.015017349225514951,0.000828919858985739,0.1962696481023079,0.14275994841360723,0.2657919647984952,0.0830544705594295,0.648090538580039,0.02135873303950131,0.4877937694301309,0.11815132314573239
ood_sncs_c100,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.24062989808982066,0.07121596337721262,0.4815446852098485,0.3147066262778475,0.4452173655691382,0.0830544705594295,0.5011634464156022,0.02135873303950131,0.34057293112704917,1.2423903590508139
ood_nsncs_svhn,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.15925528446433515,0.04137295635959749,0.4630304351544779,0.19267840715318532,0.26527086409055156,0.0830544705594295,0.2265737308180263,0.02135873303950131,0.08552231416353123,3.2341905826810784
ood_sncs_c10,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.2587460452273967,0.0826882983013673,0.5315675855872116,0.3328227734154235,0.46731763667708204,0.0830544705594295,0.5338612803842131,0.02135873303950131,0.3769728384559136,1.2423903590508139
ood_nsncs_lsun_cropped,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.14414184148460737,0.03780314738102968,0.3956325570082755,0.20815462908981,0.2965743137119108,0.0830544705594295,0.3088477466909133,0.02135873303950131,0.14156072415856202,1.2423903590508139
ood_nsncs_lsun_resize,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.2495728175718771,0.08946728289774236,0.5349440580164891,0.3236495457599039,0.44084308008343254,0.0830544705594295,0.5173045217887657,0.02135873303950131,0.3335773528840728,1.2423903590508139
ood_nsncs_isun,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.21413286414314872,0.07008947645093484,0.49668407617561955,0.2929010311671675,0.40715617790755165,0.0830544705594295,0.48215088733878464,0.02135873303950131,0.2960188215487394,1.1088333954528513
ood_nsncs_textures,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.08756287541781828,0.016389357833853004,0.2600872210331992,0.17979210082428693,0.28074268052558987,0.0830544705594295,0.3178490486969532,0.02135873303950131,0.16081595360758835,0.700708162504659
ood_nsncs_places365,GradNorm,Beta,modelvit,ViT,do0,rew0,0,0.23403826185547943,0.07107311426186032,0.48907634411211093,0.3081149900435062,0.4311698146704468,0.0830544705594295,0.48926620217623956,0.02135873303950131,0.31835263843031725,1.2423903590508139
val,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,3.3153036781641276e-05,1.0991238478448593e-09,3.3153036781641276e-05,0.15225264834280616,0.27588833698954357,0.08303478810228349,0.916984911482075,0.006895151118710189,0.8408616977228759,0.09051254089422028
iid_test,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.02263351362988475,0.0005122759392341787,0.02263351362988475,0.1711521466950086,0.3082425962800346,0.08303315303678183,0.9169668469632182,0.006894504503229633,0.8408281984296657,0.11815132314573239
ood_sncs_c100,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.4710141626039738,0.22185434137352264,0.4710141626039738,0.5450718775791036,0.6847869953829082,0.08303315303678183,0.9169668469632183,0.006894504503229633,0.8408281984296658,1.2423903590508139
ood_nsncs_svhn,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.6807941994470068,0.4634807420006909,0.6807941994470068,0.7200145186156379,0.8024187622944055,0.08303315303678183,0.9169668469632182,0.006894504503229633,0.8408281984296658,3.2341905826810784
ood_sncs_c10,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.4710141626039738,0.22185434137352264,0.4710141626039738,0.5450718775791036,0.6847869953829082,0.08303315303678183,0.9169668469632183,0.006894504503229633,0.8408281984296658,1.2423903590508139
ood_nsncs_lsun_cropped,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.4710141626039738,0.22185434137352264,0.4710141626039738,0.5450718775791036,0.6847869953829082,0.08303315303678183,0.9169668469632183,0.006894504503229633,0.8408281984296658,1.2423903590508139
ood_nsncs_lsun_resize,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.4710141626039738,0.22185434137352264,0.4710141626039738,0.5450718775791036,0.6847869953829082,0.08303315303678183,0.9169668469632183,0.006894504503229633,0.8408281984296658,1.2423903590508139
ood_nsncs_isun,Confidence,Sigmoid,modelvit,ViT,do0,rew0,0,0.4427710180484073,0.19604617442362302,0.4427710180484073,0.5215189677117814,0.6673682036014521,0.08303315303678183,0.9169668469632182,0.006894504503229633,0.8408281984296658,1.1088333954528513
