dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_sncs_c10,Confidence,Isotonic,modelvit,do1,rew0,2,0.45712541109405874,0.20896364146791216,0.4571254110940587,0.5393665862749395,0.675757046781563
ood_nsncs_svhn,Confidence,Isotonic,modelvit,do1,rew0,2,0.6684818531917379,0.4468679880466602,0.6684818531917379,0.7122561559108415,0.7934337753781606
ood_nsncs_ti,Confidence,Isotonic,modelvit,do1,rew0,2,0.45712541109405874,0.20896364146791216,0.4571254110940587,0.5393665862749395,0.675757046781563
ood_nsncs_lsun_cropped,Confidence,Isotonic,modelvit,do1,rew0,2,0.45712541109405874,0.20896364146791216,0.4571254110940587,0.5393665862749395,0.675757046781563
ood_nsncs_lsun_resize,Confidence,Isotonic,modelvit,do1,rew0,2,0.45712541109405874,0.20896364146791216,0.4571254110940587,0.5393665862749395,0.675757046781563
ood_nsncs_isun,Confidence,Isotonic,modelvit,do1,rew0,2,0.42883225580989015,0.18389710362299908,0.42883225580989015,0.51622278525249,0.6584100434018986
ood_nsncs_textures,Confidence,Isotonic,modelvit,do1,rew0,2,0.31522299049265357,0.09936553373513156,0.31522299049265357,0.42329040622299036,0.5835849605867088
ood_nsncs_places365,Confidence,Isotonic,modelvit,do1,rew0,2,0.45712541109405874,0.20896364146791216,0.4571254110940587,0.5393665862749395,0.675757046781563
val,Confidence,Beta,modelvit,do1,rew0,2,1.0439160643249679e-05,1.0897607493557304e-10,1.0439160643249679e-05,0.16544853942061957,0.28761302185922505
iid_test,Confidence,Beta,modelvit,do1,rew0,2,0.007010439160643256,4.9146257225080516e-05,0.007010439160643256,0.15972068538165513,0.2774763886481606
ood_sncs_c10,Confidence,Beta,modelvit,do1,rew0,2,0.45711497193341516,0.2089540975656869,0.4571149719334151,0.5393655814971448,0.6757499851074468
ood_nsncs_svhn,Confidence,Beta,modelvit,do1,rew0,2,0.6684714140310944,0.4468540313767309,0.6684714140310944,0.7122507383653425,0.7934249802223977
